id,scene_theme,target,mode,title_en,title_cn,prompt,seed_terms,weight
t2v_workflow_bioluminescent_cave,*,positive_prompt,replace,Bioluminescent cave,发光洞穴生态,"在一个被发光真菌照亮的巨大地下洞穴中，一条发着微光的河流蜿蜒穿过水晶森林。空中漂浮着像水母一样的半透明生物，缓慢地脉动变化着色彩。镜头跟随一只翅膀上撒落星尘的精灵，她轻触一朵巨大的荧光花朵，花朵随即绽放并释放出更多发光孢子。这些孢子向上飘散，照亮了洞穴顶部垂落的巨大钟乳石，展示了从微观到宏观的完整生态系统。","地下洞穴|发光真菌|水晶森林|孢子",117
t2v_workflow_rainy_asphalt_detail,*,positive_prompt,replace,Rainy asphalt detail,雨夜沥青细节,"5 秒俯拍镜头聚焦湿漉漉的沥青路面，穿藏青色雨衣的行人撑透明雨伞快步走过（雨伞表面雨滴滑落轨迹可见），右侧便利店暖光招牌在水洼中形成扭曲倒影（倒影随行人脚步产生涟漪），一辆红色自行车从画面左侧驶入（车轮溅起细小水花），车筐里的白色帆布包晃动（布料动态符合物理惯性），远处交通信号灯从红色变为绿色（灯光穿透雨雾有朦胧感），需呈现雨水、水花、布料 3 种动态元素，以及金属、布料、玻璃 3 种材质质感。","俯拍|雨水|水洼倒影|自行车",118
t2v_workflow_seed_life_cycle,*,positive_prompt,replace,Seed life cycle,种子生命循环,"固定镜头，森林地面的一颗种子在5秒内急速生长，破土、发芽、长成参天大树、开花结果，随后花朵迅速枯萎，树叶飘零，重归尘土。整个过程如同时光加速，充满生命循环的哲思。","固定镜头|种子生长|时光加速|生命循环",116
t2v_workflow_bamboo_sword_duel,*,positive_prompt,replace,Bamboo sword duel,竹林双侠过招,"电影质感，月光皎洁的竹林深处，两位女侠客正在激烈过招。一位身着飘逸的红色丝绸劲装，衣袂随她的旋转与后空翻如火焰般舞动；另一位则穿着紧身的黑色鳞甲，金属甲片在月光下反射出冷冽寒光。她们的剑刃相交，迸发出零星火花。镜头围绕两人进行360度环绕拍摄，精准捕捉到红衣女侠丝绸服饰的流畅飘动，以及黑衣女侠腾空踢腿时，其马尾辫和衣角在空中的动态瞬间。背景是随风摇曳的竹影。","竹林|女侠|360度环绕|剑刃火花",119
t2v_workflow_lab_macro_micro,*,positive_prompt,replace,Lab macro-micro detail,实验台微观宏观,"5 秒近景镜头聚焦白色实验台，戴蓝色丁腈手套的手握着移液器（移液器吸头吸取透明液体时产生液面张力），左侧培养皿中紫色细菌模型缓慢旋转（模型表面有光泽反射），背景中电子显微镜屏幕显示绿色细胞图像（图像有轻微闪烁），右侧烧杯中黄色液体被磁力搅拌器带动旋转（液体漩涡符合流体力学），实验台上方 LED 灯突然闪烁（灯光变化在台面产生动态阴影），需呈现液体流动、机械操作、微观模型运动 3 种动态，以及玻璃器皿、橡胶手套、金属仪器 3 种材质细节，同时体现微观与宏观场景的衔接。","实验台|移液器|显微镜|液体流动",118
t2v_workflow_reality_code_edit,*,positive_prompt,replace,Reality code edit,现实代码编辑,"赛博朋克风格，一个程序员坐在电脑前，屏幕上显示着类似代码的界面，但代码行对应着窗外的现实世界（如 sky.color = “sunset”）。当他删除一行代码，窗外的一栋大楼突然像故障一样闪烁并消失；当他输入新代码，一座奇特的建筑凭空生成。","赛博朋克|程序员|代码界面|现实变化",114
t2v_workflow_industrial_spring,*,positive_prompt,replace,Industrial spring,工业废墟春天,"在生锈的、充满管道和反应釜的废弃化工厂内部，一股强大的生命力从裂缝中迸发。翠绿的藤蔓以肉眼可见的速度爬满锈迹，所到之处钢铁化为沃土，反应釜中开出繁花，最终一道阳光冲破屋顶的破洞，照亮这“工业废墟中的春天”。","工业废墟|藤蔓生长|钢铁化土|阳光",116
t2v_workflow_jiangnan_qipao_window,*,positive_prompt,replace,Jiangnan qipao window,江南旗袍窗边,"电影镜头，一位身着月白色旗袍的江南女子，手持团扇，独坐于江南园林的雕花窗边。窗外细雨绵绵，翠竹摇曳。画面是柔和的水墨色调，带有淡淡的宣纸纹理。她微微侧首，眼神温柔略带忧郁，发丝被微风轻轻吹动。背景是虚化的亭台楼阁，氛围宁静诗意。","江南|旗袍|团扇|细雨翠竹",112
t2v_workflow_dunhuang_flying_apsara,*,positive_prompt,replace,Dunhuang flying apsara,敦煌飞天起舞,"动态镜头，一位敦煌飞天仙女，身披七彩飘带，在漫天云霞中翩然起舞。她的动作流畅优雅，飘带随之舞动，洒下金色的光点。画面色彩浓郁华丽，以赭石、石青、金箔色为主。特效是流动的祥云和花瓣雨，镜头围绕她旋转，充满神圣与梦幻感。","敦煌飞天|飘带|祥云|镜头旋转",116
t2v_workflow_moonlit_swordsman,*,positive_prompt,replace,Moonlit swordsman,月下竹海侠客,"武侠电影风格，一位束发仗剑的侠客，立于月光下的竹海之巅。他身着玄色劲装，衣袂在风中猎猎作响。清冷的月光透过竹叶，在他身上投下斑驳的光影。他缓缓舞剑，动作行云流水，带起地上的几片竹叶随之飞舞。氛围孤高而潇洒，充满东方意境。","武侠|竹海|月光|舞剑",115
t2v_workflow_tang_palace_makeup,*,positive_prompt,replace,Tang palace makeup,盛唐宫廷妆容,"奢华宫廷场景，一位盛唐时期的贵族仕女，梳着高髻，头戴金步摇，身着刺绣繁复的齐胸襦裙。她正在富丽堂皇的宫殿内对镜贴花黄，镜头特写她精致的妆容和首饰的细微颤动。周围有丝绸帷幔、青铜香炉青烟袅袅，色彩华美浓艳，展现出大唐的盛世气象。","盛唐|贵族仕女|贴花黄|香炉青烟",113
t2v_workflow_hanfu_lotus_boat,*,positive_prompt,replace,Hanfu lotus boat,汉服莲塘采莲,"夏日清新风格，一位少女穿着藕荷色汉服，撑着一叶扁舟，穿行在荷花盛开的莲塘中。荷叶田田，莲蓬饱满。她伸手去摘一朵莲蓬，笑容明媚，阳光在水面泛起粼粼波光。镜头清新自然，充满生机与活力，色调是明亮的绿色和粉色。","汉服少女|莲塘|扁舟|水面波光",112
t2v_workflow_peking_opera_closeup,*,positive_prompt,replace,Peking opera close-up,京剧旦角特写,"戏剧舞台特写，一位京剧旦角，画着精致的妆容，头戴点翠头面，身穿凤冠霞帔。她正在表演，水袖轻抛，眼神流转，一颦一笑皆具风情。背景是浓墨重彩的舞台幕布，灯光聚焦在她身上，突出其华丽的服饰和富有表现力的神态。","京剧旦角|水袖|舞台灯光|凤冠霞帔",113
t2v_workflow_snow_mountain_immortal,*,positive_prompt,replace,Snow mountain immortal,雪山白衣仙子,"广角远景开场，一位白衣仙子静立于巍峨的雪山之巅，四周云海翻腾。她身披白色斗篷，面容清冷绝尘，仿佛与天地融为一体。阳光穿透云层，形成一道神圣的光柱（丁达尔效应）。她缓缓抬起手，指尖有冰雪凝结环绕。画面纯净、空灵，充满仙侠气息。","雪山|白衣仙子|云海|冰雪凝结",114
t2v_workflow_daiyu_flower_burial,*,positive_prompt,replace,Daiyu flower burial,黛玉葬花,"古典文学场景，林黛玉肩扛花锄，手捧锦囊，在桃花树下黯然神伤。微风吹过，粉色花瓣如雨般落下。她身着淡紫色襦裙，身形纤细，眉宇间含着轻愁。画面柔美而伤感，色调偏冷，背景是古典园林的一角。镜头缓慢推进，捕捉她眼角将落未落的泪珠。","林黛玉|桃花|花瓣雨|镜头推进",111
t2v_workflow_ancient_market_teahouse,*,positive_prompt,replace,Ancient market teahouse,古代市集茶馆,"生活化场景，一位活泼灵动的古装少女，在热闹的古代市集茶馆中忙碌。她穿着朴素的布衣，扎着双丫髻，正笑着为客人斟茶。背景是虚化的叫卖小贩和过往行人，热气从茶壶中蒸腾而上。画面温暖，色调偏暖黄，充满人间烟火气和动态活力。","古装少女|市集茶馆|斟茶|热气",111
t2v_workflow_age_mirror_corridor,*,positive_prompt,replace,Age mirror corridor,年龄镜廊,"超现实主义概念，一条无限延伸的、两侧挂满复古镜子的长廊。同一个人物的不同年龄版本（幼年、青年、中年、老年）同时从不同的镜子中走出，彼此对视、擦肩而过。光线从长廊尽头射入，灰尘在光柱中飞舞，氛围哲学而怀旧，引发对时间的思考。","镜廊|不同年龄|擦肩而过|光柱灰尘",113
t2v_workflow_hologram_idol_concert,*,positive_prompt,replace,Hologram idol concert,全息偶像演唱会,"全息影像风格，一位未来派的虚拟偶像在全息投影的竞技场中央进行全息演唱会。她是由半透明的数据和流光构成的，身体随着电子音乐节奏变化形态和颜色。无数粉丝的虚拟形象在她周围欢呼，激光和特效充斥全场，科技感与动感爆棚。","全息影像|虚拟偶像|激光特效|演唱会",114
t2v_workflow_rooftop_survivor,*,positive_prompt,replace,Rooftop survivor,废城楼顶幸存者,"电影广角镜头，一位身披破旧斗篷的幸存者，站在被废弃城市吞噬的楼顶。他/她半张脸隐藏在阴影中，眼神疲惫而坚定。远处是巨大的、残破的落日，空气中弥漫着尘埃，几缕阳光穿透云层（丁达尔效应）。风吹动他/她的头发和斗篷，充满史诗般的孤独感。","废弃城市|幸存者|破旧斗篷|丁达尔效应",115
t2v_workflow_blinds_sunbeam_dust,*,positive_prompt,replace,Blinds sunbeam dust,百叶窗夕阳尘埃,"一束夕阳从百叶窗的缝隙射入昏暗的房间，在布满灰尘的空气中形成一道清晰的光柱，照亮了漂浮的尘埃。","夕阳|百叶窗|光柱|漂浮尘埃",106
