trigger_tag,trigger_canonical,related_tag,related_canonical,slot,support,trigger_lines,related_lines,total_lines,confidence,reverse_confidence,lift,pmi,score,safety_bin,safety_class,related_group,related_subgroup,related_source,expected_support,negative_score
white shirt,white_shirt,dress,dress,clothing,900,18028,19748,82771,0.049922,0.045574,0.209243,-2.256752,0.030958,sfw,clean,服饰,裙子,weilin_tagcart.csv,4301.228015,2689.546327
long sleeves,long_sleeves,short sleeves,short_sleeves,clothing,239,25664,9418,82771,0.009313,0.025377,0.081845,-3.610959,0.009806,sfw,clean,服饰,手臂,weilin_tagcart.csv,2920.147781,2461.708778
short sleeves,short_sleeves,long sleeves,long_sleeves,clothing,239,9418,25664,82771,0.025377,0.009313,0.081845,-3.610959,0.009806,sfw,clean,服饰,手臂,weilin_tagcart.csv,2920.147781,2461.708778
standing,standing,upper body,upper_body,camera,41,17010,12256,82771,0.00241,0.003345,0.016278,-5.940906,0.00139,sfw,clean,镜头,镜头,weilin_tagcart.csv,2518.690846,2437.358256
upper body,upper_body,standing,standing,pose_action,41,12256,17010,82771,0.003345,0.00241,0.016278,-5.940906,0.00139,sfw,clean,表情动作,基础动作,weilin_tagcart.csv,2518.690846,2437.358256
:d,:d,closed mouth,closed_mouth,expression,211,6210,36423,82771,0.033977,0.005793,0.077214,-3.695003,0.009051,sfw,clean,人物,嘴巴,weilin_tagcart.csv,2732.682099,2326.974151
closed mouth,closed_mouth,:d,:d,pose_action,211,36423,6210,82771,0.005793,0.033977,0.077214,-3.695003,0.009051,sfw,clean,表情动作,笑,weilin_tagcart.csv,2732.682099,2326.974151
closed eyes,closed_eyes,looking at viewer,looking_at_viewer,camera,268,3356,67243,82771,0.079857,0.003986,0.098298,-3.346697,0.019185,sfw,clean,镜头,主角动作,weilin_tagcart.csv,2726.407896,2216.751717
looking at viewer,looking_at_viewer,closed eyes,closed_eyes,expression,268,67243,3356,82771,0.003986,0.079857,0.098298,-3.346697,0.012012,sfw,clean,人物,眼睛,weilin_tagcart.csv,2726.407896,2216.751717
closed mouth,closed_mouth,grin,grin,pose_action,85,36423,5277,82771,0.002334,0.016108,0.036604,-4.771836,0.00362,sfw,clean,表情动作,笑,weilin_tagcart.csv,2322.119716,2155.231097
grin,grin,closed mouth,closed_mouth,expression,85,5277,36423,82771,0.016108,0.002334,0.036604,-4.771836,0.00362,sfw,clean,人物,嘴巴,weilin_tagcart.csv,2322.119716,2155.231097
indoors,indoors,sky,sky,scene,849,22178,13199,82771,0.038281,0.064323,0.240061,-2.058524,0.035217,sfw,clean,环境,天空,weilin_tagcart.csv,3536.594,2042.406199
sky,sky,indoors,indoors,scene,849,13199,22178,82771,0.064323,0.038281,0.240061,-2.058524,0.045305,sfw,clean,场景,室内,danbooru_all.csv,3536.594,2042.406199
cowboy shot,cowboy_shot,upper body,upper_body,camera,62,14462,12256,82771,0.004287,0.005059,0.028953,-5.110146,0.002689,sfw,clean,镜头,镜头,weilin_tagcart.csv,2141.405468,2019.200551
upper body,upper_body,cowboy shot,cowboy_shot,camera,62,12256,14462,82771,0.005059,0.004287,0.028953,-5.110146,0.002689,sfw,clean,镜头,镜头,weilin_tagcart.csv,2141.405468,2019.200551
lying,lying,sitting,sitting,pose_action,269,8225,23487,82771,0.032705,0.011453,0.115257,-3.117075,0.014094,sfw,clean,表情动作,腿部动作,weilin_tagcart.csv,2333.916166,1826.920279
sitting,sitting,lying,lying,pose_action,269,23487,8225,82771,0.011453,0.032705,0.115257,-3.117075,0.014094,sfw,clean,表情动作,基础动作,weilin_tagcart.csv,2333.916166,1826.920279
outdoors,outdoors,window,window,scene,78,18986,8164,82771,0.004108,0.009554,0.041652,-4.585469,0.00405,sfw,clean,场景,家具,weilin_tagcart.csv,1872.657138,1719.905998
window,window,outdoors,outdoors,scene,78,8164,18986,82771,0.009554,0.004108,0.041652,-4.585469,0.00405,sfw,clean,环境,大自然,weilin_tagcart.csv,1872.657138,1719.905998
cowboy shot,cowboy_shot,full body,full_body,camera,0,14462,9769,82771,0,0,0,0,0,sfw,clean,镜头,人物构图,danbooru_all.csv,1706.86929,1706.86929
full body,full_body,cowboy shot,cowboy_shot,camera,0,9769,14462,82771,0,0,0,0,0,sfw,clean,镜头,镜头,weilin_tagcart.csv,1706.86929,1706.86929
lying,lying,standing,standing,pose_action,8,8225,17010,82771,0.000973,0.00047,0.004733,-7.723058,0.000297,sfw,clean,表情动作,基础动作,weilin_tagcart.csv,1690.293098,1674.330961
standing,standing,lying,lying,pose_action,8,17010,8225,82771,0.00047,0.000973,0.004733,-7.723058,0.000297,sfw,clean,表情动作,基础动作,weilin_tagcart.csv,1690.293098,1674.330961
indoors,indoors,water,water,scene,890,22178,11892,82771,0.04013,0.07484,0.279313,-1.840046,0.041258,sfw,clean,环境,水,danbooru_all.csv,3186.391079,1654.979523
water,water,indoors,indoors,scene,890,11892,22178,82771,0.07484,0.04013,0.279313,-1.840046,0.061755,sfw,clean,场景,室内,danbooru_all.csv,3186.391079,1654.979523
on bed,on_bed,outdoors,outdoors,scene,13,7233,18986,82771,0.001797,0.000685,0.007836,-6.995749,0.000533,sfw,clean,环境,大自然,weilin_tagcart.csv,1659.104493,1633.206355
outdoors,outdoors,on bed,on_bed,scene,13,18986,7233,82771,0.000685,0.001797,0.007836,-6.995749,0.000533,sfw,clean,场景,室内,danbooru_all.csv,1659.104493,1633.206355
shirt,shirt,white dress,white_dress,clothing,517,25288,8217,82771,0.020444,0.062918,0.20594,-2.279703,0.028027,sfw,clean,服饰,裙子,danbooru_all.csv,2510.43839,1582.909436
white dress,white_dress,shirt,shirt,clothing,517,8217,25288,82771,0.062918,0.020444,0.20594,-2.279703,0.035268,sfw,clean,服饰,上衣,weilin_tagcart.csv,2510.43839,1582.909436
thighhighs,thighhighs,upper body,upper_body,camera,2,10125,12256,82771,0.000198,0.000163,0.001334,-9.549997,0.000072,sfw,clean,镜头,镜头,weilin_tagcart.csv,1499.220742,1495.22341
upper body,upper_body,thighhighs,thighhighs,clothing,2,12256,10125,82771,0.000163,0.000198,0.001334,-9.549997,0.000072,sfw,clean,服饰,袜子,weilin_tagcart.csv,1499.220742,1495.22341
cloud,cloud,indoors,indoors,scene,244,7212,22178,82771,0.033833,0.011002,0.126267,-2.98545,0.015183,sfw,clean,场景,室内,danbooru_all.csv,1932.412753,1475.221906
indoors,indoors,cloud,cloud,scene,244,22178,7212,82771,0.011002,0.033833,0.126267,-2.98545,0.015183,sfw,clean,环境,云,danbooru_all.csv,1932.412753,1475.221906
dress,dress,pleated skirt,pleated_skirt,clothing,160,19748,7433,82771,0.008102,0.021526,0.090222,-3.470382,0.010062,sfw,clean,服饰,裙子,weilin_tagcart.csv,1773.409576,1467.845045
pleated skirt,pleated_skirt,dress,dress,clothing,160,7433,19748,82771,0.021526,0.008102,0.090222,-3.470382,0.010062,sfw,clean,服饰,裙子,weilin_tagcart.csv,1773.409576,1467.845045
sweat,sweat,water,water,scene,471,16016,11892,82771,0.029408,0.039606,0.204687,-2.288509,0.02745,sfw,clean,环境,水,danbooru_all.csv,2301.074918,1455.48247
water,water,sweat,sweat,style_light,471,11892,16016,82771,0.039606,0.029408,0.204687,-2.288509,0.02745,sfw,clean,表情动作,其他表情,weilin_tagcart.csv,2301.074918,1455.48247
full body,full_body,upper body,upper_body,camera,0,9769,12256,82771,0,0,0,0,0,sfw,clean,镜头,镜头,weilin_tagcart.csv,1446.5074,1446.5074
upper body,upper_body,full body,full_body,camera,0,12256,9769,82771,0,0,0,0,0,sfw,clean,镜头,人物构图,danbooru_all.csv,1446.5074,1446.5074
blue sky,blue_sky,indoors,indoors,scene,161,6405,22178,82771,0.025137,0.007259,0.093813,-3.41407,0.010474,sfw,clean,场景,室内,danbooru_all.csv,1716.181875,1409.285752
indoors,indoors,blue sky,blue_sky,scene,161,22178,6405,82771,0.007259,0.025137,0.093813,-3.41407,0.010474,sfw,clean,环境,天空,danbooru_all.csv,1716.181875,1409.285752
pantyhose,pantyhose,upper body,upper_body,camera,27,9864,12256,82771,0.002737,0.002203,0.018486,-5.757432,0.001449,sfw,clean,镜头,镜头,weilin_tagcart.csv,1460.574162,1407.073281
upper body,upper_body,pantyhose,pantyhose,clothing,27,12256,9864,82771,0.002203,0.002737,0.018486,-5.757432,0.001449,sfw,clean,服饰,袜子,weilin_tagcart.csv,1460.574162,1407.073281
day,day,indoors,indoors,scene,1242,12743,22178,82771,0.097465,0.056001,0.363752,-1.458972,0.10982,sfw,clean,场景,室内,danbooru_all.csv,3414.411497,1382.191841
indoors,indoors,day,day,scene,1242,22178,12743,82771,0.056001,0.097465,0.363752,-1.458972,0.0631,sfw,clean,环境,天气,weilin_tagcart.csv,3414.411497,1382.191841
looking at viewer,looking_at_viewer,looking away,looking_away,camera,49,67243,1800,82771,0.000729,0.027222,0.033508,-4.89933,0.002967,sfw,clean,镜头,主角动作,weilin_tagcart.csv,1462.316512,1365.958427
looking away,looking_away,looking at viewer,looking_at_viewer,camera,49,1800,67243,82771,0.027222,0.000729,0.033508,-4.89933,0.002967,sfw,clean,镜头,主角动作,weilin_tagcart.csv,1462.316512,1365.958427
on bed,on_bed,standing,standing,pose_action,91,7233,17010,82771,0.012581,0.00535,0.06122,-4.029842,0.006135,sfw,clean,表情动作,基础动作,weilin_tagcart.csv,1486.430392,1310.001457
standing,standing,on bed,on_bed,scene,91,17010,7233,82771,0.00535,0.012581,0.06122,-4.029842,0.006135,sfw,clean,场景,室内,danbooru_all.csv,1486.430392,1310.001457
gloves,gloves,wet,wet,style_light,401,8961,18530,82771,0.044749,0.021641,0.19989,-2.322723,0.026124,sfw,clean,人物,皮肤,danbooru_all.csv,2006.105158,1284.260976
wet,wet,gloves,gloves,clothing,401,18530,8961,82771,0.021641,0.044749,0.19989,-2.322723,0.026124,sfw,clean,服饰,手套,weilin_tagcart.csv,2006.105158,1284.260976
collared shirt,collared_shirt,dress,dress,clothing,222,6788,19748,82771,0.032705,0.011242,0.137078,-2.866936,0.016213,sfw,clean,服饰,裙子,weilin_tagcart.csv,1619.52162,1205.952828
dress,dress,collared shirt,collared_shirt,clothing,222,19748,6788,82771,0.011242,0.032705,0.137078,-2.866936,0.016213,sfw,clean,服饰,上衣,weilin_tagcart.csv,1619.52162,1205.952828
indoors,indoors,ocean,ocean,scene,30,22178,4606,82771,0.001353,0.006513,0.024308,-5.362412,0.001947,sfw,clean,环境,水,weilin_tagcart.csv,1234.150463,1174.87971
ocean,ocean,indoors,indoors,scene,30,4606,22178,82771,0.006513,0.001353,0.024308,-5.362412,0.001947,sfw,clean,场景,室内,danbooru_all.csv,1234.150463,1174.87971
skirt,skirt,upper body,upper_body,camera,546,14342,12256,82771,0.03807,0.04455,0.257106,-1.959564,0.035289,sfw,clean,镜头,镜头,weilin_tagcart.csv,2123.636926,1172.016855
upper body,upper_body,skirt,skirt,clothing,546,12256,14342,82771,0.04455,0.03807,0.257106,-1.959564,0.035289,sfw,clean,服饰,裙子,weilin_tagcart.csv,2123.636926,1172.016855
dress,dress,skirt,skirt,clothing,1445,19748,14342,82771,0.073172,0.100753,0.422292,-1.243686,0.097732,sfw,clean,服饰,裙子,weilin_tagcart.csv,3421.800099,1142.012543
skirt,skirt,dress,dress,clothing,1445,14342,19748,82771,0.100753,0.073172,0.422292,-1.243686,0.134571,sfw,clean,服饰,裙子,weilin_tagcart.csv,3421.800099,1142.012543
shirt,shirt,sleeveless dress,sleeveless_dress,clothing,117,25288,4456,82771,0.004627,0.026257,0.085942,-3.540496,0.00904,sfw,clean,服饰,裙子,weilin_tagcart.csv,1361.386573,1137.441762
sleeveless dress,sleeveless_dress,shirt,shirt,clothing,117,4456,25288,82771,0.026257,0.004627,0.085942,-3.540496,0.00904,sfw,clean,服饰,上衣,weilin_tagcart.csv,1361.386573,1137.441762
outdoors,outdoors,pillow,pillow,scene,9,18986,4986,82771,0.000474,0.001805,0.007869,-6.989553,0.000503,sfw,clean,场景,床上用品,weilin_tagcart.csv,1143.687958,1125.758782
pillow,pillow,outdoors,outdoors,scene,9,4986,18986,82771,0.001805,0.000474,0.007869,-6.989553,0.000503,sfw,clean,环境,大自然,weilin_tagcart.csv,1143.687958,1125.758782
white dress,white_dress,white shirt,white_shirt,clothing,391,8217,18028,82771,0.047584,0.021688,0.218471,-2.194485,0.028436,sfw,clean,服饰,上衣,weilin_tagcart.csv,1789.709874,1093.132099
white shirt,white_shirt,white dress,white_dress,clothing,391,18028,8217,82771,0.021688,0.047584,0.218471,-2.194485,0.028436,sfw,clean,服饰,裙子,danbooru_all.csv,1789.709874,1093.132099
black dress,black_dress,shirt,shirt,clothing,278,5238,25288,82771,0.053074,0.010993,0.173717,-2.525187,0.022675,sfw,clean,服饰,上衣,weilin_tagcart.csv,1600.301362,1092.594765
shirt,shirt,black dress,black_dress,clothing,278,25288,5238,82771,0.010993,0.053074,0.173717,-2.525187,0.021362,sfw,clean,服饰,裙子,danbooru_all.csv,1600.301362,1092.594765
bed sheet,bed_sheet,outdoors,outdoors,scene,7,4594,18986,82771,0.001524,0.000369,0.006643,-7.233991,0.000409,sfw,clean,环境,大自然,weilin_tagcart.csv,1053.771055,1039.817555
outdoors,outdoors,bed sheet,bed_sheet,scene,7,18986,4594,82771,0.000369,0.001524,0.006643,-7.233991,0.000409,sfw,clean,场景,床上用品,weilin_tagcart.csv,1053.771055,1039.817555
on back,on_back,sitting,sitting,pose_action,134,4504,23487,82771,0.029751,0.005705,0.104847,-3.253639,0.011315,sfw,clean,表情动作,腿部动作,weilin_tagcart.csv,1278.049655,1024.099187
sitting,sitting,on back,on_back,pose_action,134,23487,4504,82771,0.005705,0.029751,0.104847,-3.253639,0.011315,sfw,clean,表情动作,基础动作,weilin_tagcart.csv,1278.049655,1024.099187
beach,beach,indoors,indoors,scene,3,3833,22178,82771,0.000783,0.000135,0.002921,-8.4193,0.000163,sfw,clean,场景,室内,danbooru_all.csv,1027.029684,1021.038447
indoors,indoors,beach,beach,scene,3,22178,3833,82771,0.000135,0.000783,0.002921,-8.4193,0.000163,sfw,clean,环境,水,weilin_tagcart.csv,1027.029684,1021.038447
dress,dress,school uniform,school_uniform,clothing,192,19748,5757,82771,0.009723,0.033351,0.139785,-2.83872,0.016113,sfw,clean,服饰,正装,weilin_tagcart.csv,1373.539476,1016.378166
school uniform,school_uniform,dress,dress,clothing,192,5757,19748,82771,0.033351,0.009723,0.139785,-2.83872,0.016113,sfw,clean,服饰,裙子,weilin_tagcart.csv,1373.539476,1016.378166
on bed,on_bed,water,water,scene,13,7233,11892,82771,0.001797,0.001093,0.01251,-6.320805,0.000852,sfw,clean,环境,水,danbooru_all.csv,1039.190489,1013.353116
water,water,on bed,on_bed,scene,13,11892,7233,82771,0.001093,0.001797,0.01251,-6.320805,0.000852,sfw,clean,场景,室内,danbooru_all.csv,1039.190489,1013.353116
long sleeves,long_sleeves,sleeveless,sleeveless,clothing,1220,25664,9491,82771,0.047537,0.128543,0.414574,-1.2703,0.06405,sfw,clean,服饰,手臂,weilin_tagcart.csv,2942.782182,1008.562056
sleeveless,sleeveless,long sleeves,long_sleeves,clothing,1220,9491,25664,82771,0.128543,0.047537,0.414574,-1.2703,0.164663,sfw,clean,服饰,手臂,weilin_tagcart.csv,2942.782182,1008.562056
dress,dress,shorts,shorts,clothing,178,19748,5575,82771,0.009014,0.031928,0.133823,-2.901604,0.015217,sfw,clean,服饰,裤子,weilin_tagcart.csv,1330.116828,997.937292
shorts,shorts,dress,dress,clothing,178,5575,19748,82771,0.031928,0.009014,0.133823,-2.901604,0.015217,sfw,clean,服饰,裙子,weilin_tagcart.csv,1330.116828,997.937292
thighhighs,thighhighs,wet,wet,style_light,767,10125,18530,82771,0.075753,0.041392,0.338379,-1.563289,0.074091,sfw,clean,人物,皮肤,danbooru_all.csv,2266.690628,992.227149
wet,wet,thighhighs,thighhighs,clothing,767,18530,10125,82771,0.041392,0.075753,0.338379,-1.563289,0.048903,sfw,clean,服饰,袜子,weilin_tagcart.csv,2266.690628,992.227149
cowboy shot,cowboy_shot,legs,legs,pose_action,0,14462,5602,82771,0,0,0,0,0,sfw,clean,表情动作,腿部动作,weilin_tagcart.csv,978.79842,978.79842
legs,legs,cowboy shot,cowboy_shot,camera,0,5602,14462,82771,0,0,0,0,0,sfw,clean,镜头,镜头,weilin_tagcart.csv,978.79842,978.79842
barefoot,barefoot,cowboy shot,cowboy_shot,camera,7,5645,14462,82771,0.00124,0.000484,0.007097,-7.138545,0.000437,sfw,clean,镜头,镜头,weilin_tagcart.csv,986.31151,972.36119
cowboy shot,cowboy_shot,barefoot,barefoot,pose_action,7,14462,5645,82771,0.000484,0.00124,0.007097,-7.138545,0.000437,sfw,clean,表情动作,腿部动作,weilin_tagcart.csv,986.31151,972.36119
closed mouth,closed_mouth,tongue,tongue,pose_action,366,36423,3676,82771,0.010049,0.099565,0.22626,-2.143946,0.029133,sfw,clean,表情动作,其他动作,weilin_tagcart.csv,1617.606988,968.418203
tongue,tongue,closed mouth,closed_mouth,expression,366,3676,36423,82771,0.099565,0.010049,0.22626,-2.143946,0.058013,sfw,clean,人物,嘴巴,weilin_tagcart.csv,1617.606988,968.418203
dress,dress,midriff,midriff,clothing,47,19748,4436,82771,0.00238,0.010595,0.044408,-4.493036,0.003899,sfw,clean,服饰,上衣,weilin_tagcart.csv,1058.367399,966.454576
midriff,midriff,dress,dress,clothing,47,4436,19748,82771,0.010595,0.00238,0.044408,-4.493036,0.003899,sfw,clean,服饰,裙子,weilin_tagcart.csv,1058.367399,966.454576
dress,dress,miniskirt,miniskirt,clothing,44,19748,4326,82771,0.002228,0.010171,0.042631,-4.551967,0.003693,sfw,clean,服饰,裙子,weilin_tagcart.csv,1032.122942,945.998687
miniskirt,miniskirt,dress,dress,clothing,44,4326,19748,82771,0.010171,0.002228,0.042631,-4.551967,0.003693,sfw,clean,服饰,裙子,weilin_tagcart.csv,1032.122942,945.998687
bed sheet,bed_sheet,standing,standing,pose_action,4,4594,17010,82771,0.000871,0.000235,0.004237,-7.882793,0.000243,sfw,clean,表情动作,基础动作,weilin_tagcart.csv,944.098054,936.115001
standing,standing,bed sheet,bed_sheet,scene,4,17010,4594,82771,0.000235,0.000871,0.004237,-7.882793,0.000243,sfw,clean,场景,床上用品,weilin_tagcart.csv,944.098054,936.115001
looking at viewer,looking_at_viewer,profile,profile,camera,423,67243,2046,82771,0.006291,0.206745,0.254487,-1.974335,0.033548,sfw,clean,镜头,镜头,weilin_tagcart.csv,1662.166435,923.8145
profile,profile,looking at viewer,looking_at_viewer,camera,423,2046,67243,82771,0.206745,0.006291,0.254487,-1.974335,0.138716,sfw,clean,镜头,主角动作,weilin_tagcart.csv,1662.166435,923.8145
on back,on_back,standing,standing,pose_action,3,4504,17010,82771,0.000666,0.000176,0.003241,-8.269286,0.000181,sfw,clean,表情动作,基础动作,weilin_tagcart.csv,925.602445,919.612169
standing,standing,on back,on_back,pose_action,3,17010,4504,82771,0.000176,0.000666,0.003241,-8.269286,0.000181,sfw,clean,表情动作,基础动作,weilin_tagcart.csv,925.602445,919.612169
black skirt,black_skirt,dress,dress,clothing,234,5536,19748,82771,0.042269,0.011849,0.177164,-2.496845,0.021148,sfw,clean,服饰,裙子,weilin_tagcart.csv,1320.811975,894.268292
dress,dress,black skirt,black_skirt,clothing,234,19748,5536,82771,0.011849,0.042269,0.177164,-2.496845,0.021148,sfw,clean,服饰,裙子,danbooru_all.csv,1320.811975,894.268292
crop top,crop_top,dress,dress,clothing,33,4011,19748,82771,0.008227,0.001671,0.034484,-4.857933,0.002816,sfw,clean,服饰,裙子,weilin_tagcart.csv,956.968358,892.106327
dress,dress,crop top,crop_top,clothing,33,19748,4011,82771,0.001671,0.008227,0.034484,-4.857933,0.002816,sfw,clean,服饰,上衣,weilin_tagcart.csv,956.968358,892.106327
indoors,indoors,tree,tree,prop,101,22178,4044,82771,0.004554,0.024975,0.093211,-3.42336,0.009532,sfw,clean,物品,植物,weilin_tagcart.csv,1083.565887,890.980173
tree,tree,indoors,indoors,scene,101,4044,22178,82771,0.024975,0.004554,0.093211,-3.42336,0.009532,sfw,clean,场景,室内,danbooru_all.csv,1083.565887,890.980173
armpits,armpits,long sleeves,long_sleeves,clothing,395,5092,25664,82771,0.077573,0.015391,0.250186,-1.998929,0.050604,sfw,clean,服饰,手臂,weilin_tagcart.csv,1578.82698,887.650349
long sleeves,long_sleeves,armpits,armpits,pose_action,395,25664,5092,82771,0.015391,0.077573,0.250186,-1.998929,0.032617,sfw,clean,表情动作,手部动作,weilin_tagcart.csv,1578.82698,887.650349
bed,bed,outdoors,outdoors,scene,2,3854,18986,82771,0.000519,0.000105,0.002262,-8.787951,0.000122,sfw,clean,环境,大自然,weilin_tagcart.csv,884.029962,880.034487
outdoors,outdoors,bed,bed,scene,2,18986,3854,82771,0.000105,0.000519,0.002262,-8.787951,0.000122,sfw,clean,场景,家具,weilin_tagcart.csv,884.029962,880.034487
blush,blush,weapon,weapon,prop,391,59173,2187,82771,0.006608,0.178784,0.250082,-1.999526,0.03255,sfw,clean,物品,武器,weilin_tagcart.csv,1563.48662,879.268717
weapon,weapon,blush,blush,expression,391,2187,59173,82771,0.178784,0.006608,0.250082,-1.999526,0.116388,sfw,clean,表情动作,其他表情,weilin_tagcart.csv,1563.48662,879.268717
cowboy shot,cowboy_shot,lying,lying,pose_action,313,14462,8225,82771,0.021643,0.038055,0.2178,-2.198923,0.027325,sfw,clean,表情动作,基础动作,weilin_tagcart.csv,1437.09693,879.268393
lying,lying,cowboy shot,cowboy_shot,camera,313,8225,14462,82771,0.038055,0.021643,0.2178,-2.198923,0.027325,sfw,clean,镜头,镜头,weilin_tagcart.csv,1437.09693,879.268393
dress,dress,wet shirt,wet_shirt,style_light,116,19748,4506,82771,0.005874,0.025743,0.1079,-3.212232,0.011332,sfw,clean,服饰,上衣,weilin_tagcart.csv,1075.068418,855.58483
wet shirt,wet_shirt,dress,dress,clothing,116,4506,19748,82771,0.025743,0.005874,0.1079,-3.212232,0.011332,sfw,clean,服饰,裙子,weilin_tagcart.csv,1075.068418,855.58483
cowboy shot,cowboy_shot,no shoes,no_shoes,clothing,0,14462,4886,82771,0,0,0,0,0,sfw,clean,服饰,鞋子,weilin_tagcart.csv,853.69673,853.69673
no shoes,no_shoes,cowboy shot,cowboy_shot,camera,0,4886,14462,82771,0,0,0,0,0,sfw,clean,镜头,镜头,weilin_tagcart.csv,853.69673,853.69673
black dress,black_dress,white shirt,white_shirt,clothing,154,5238,18028,82771,0.029401,0.008542,0.134985,-2.889128,0.014949,sfw,clean,服饰,上衣,weilin_tagcart.csv,1140.866535,853.654243
white shirt,white_shirt,black dress,black_dress,clothing,154,18028,5238,82771,0.008542,0.029401,0.134985,-2.889128,0.014949,sfw,clean,服饰,裙子,danbooru_all.csv,1140.866535,853.654243
pillow,pillow,standing,standing,pose_action,93,4986,17010,82771,0.018652,0.005467,0.090762,-3.461766,0.009134,sfw,clean,表情动作,基础动作,weilin_tagcart.csv,1024.656703,847.097579
standing,standing,pillow,pillow,scene,93,17010,4986,82771,0.005467,0.018652,0.090762,-3.461766,0.009134,sfw,clean,场景,床上用品,weilin_tagcart.csv,1024.656703,847.097579
pleated skirt,pleated_skirt,upper body,upper_body,camera,144,7433,12256,82771,0.019373,0.011749,0.130836,-2.934167,0.01431,sfw,clean,镜头,镜头,weilin_tagcart.csv,1100.613113,831.453521
upper body,upper_body,pleated skirt,pleated_skirt,clothing,144,12256,7433,82771,0.011749,0.019373,0.130836,-2.934167,0.01431,sfw,clean,服饰,裙子,weilin_tagcart.csv,1100.613113,831.453521
sleeveless dress,sleeveless_dress,white shirt,white_shirt,clothing,73,4456,18028,82771,0.016382,0.004049,0.075216,-3.732823,0.007217,sfw,clean,服饰,上衣,weilin_tagcart.csv,970.542436,830.03318
white shirt,white_shirt,sleeveless dress,sleeveless_dress,clothing,73,18028,4456,82771,0.004049,0.016382,0.075216,-3.732823,0.007217,sfw,clean,服饰,裙子,weilin_tagcart.csv,970.542436,830.03318
legs,legs,upper body,upper_body,camera,0,5602,12256,82771,0,0,0,0,0,sfw,clean,镜头,镜头,weilin_tagcart.csv,829.494775,829.494775
upper body,upper_body,legs,legs,pose_action,0,12256,5602,82771,0,0,0,0,0,sfw,clean,表情动作,腿部动作,weilin_tagcart.csv,829.494775,829.494775
day,day,night,night,scene,28,12743,5734,82771,0.002197,0.004883,0.031718,-4.978551,0.002505,sfw,clean,环境,天气,weilin_tagcart.csv,882.777325,827.665432
night,night,day,day,scene,28,5734,12743,82771,0.004883,0.002197,0.031718,-4.978551,0.002505,sfw,clean,环境,天气,weilin_tagcart.csv,882.777325,827.665432
leotard,leotard,shirt,shirt,clothing,66,3123,25288,82771,0.021134,0.00261,0.069173,-3.85365,0.006505,sfw,clean,服饰,上衣,weilin_tagcart.csv,954.131568,826.696976
